Symbol,Trade Date,Type,Quantity,Price (USD),Proceeds (USD),Commission (USD)
CYBR,2024-07-02 09:31:33,SELL,60.0,270.0,16200.0,-32.4
SNOW,2024-07-03 09:30:02,BUY,90.0,141.9,-12771.0,-25.54
TAL,2024-09-30 09:30:20,SELL,500.0,12.43,6215.0,-12.43
PD,2024-10-09 09:36:52,SELL,150.0,18.0,2700.0,-9.95
FRSH,2024-10-09 09:40:01,SELL,980.0,11.1,10878.0,-21.76
AEIS,2024-10-09 14:49:15,BUY,120.0,107.26,-12871.2,-25.74
LRN,2024-10-16 10:41:52,BUY,102.0,67.0,-6834.0,-13.67
PAYO,2024-11-05 10:38:41,SELL,800.0,10.0,8000.0,-16.0
LRN,2024-11-08 10:03:32,SELL,200.0,102.0,20400.0,-40.8
HUBS,2024-11-12 12:35:38,SELL,45.0,695.0,31275.0,-62.55
HOOD,2024-11-20 09:32:38,SELL,550.0,37.5,20625.0,-41.25
TWLO,2024-12-12 11:39:17,SELL,150.0,115.0,17250.0,-34.5
SPXU,2024-12-19 09:33:54,BUY,1000.0,22.45,-22450.0,-44.9
BA,2024-12-19 15:28:14,BUY,50.0,177.61,-8880.5,-17.76
FROG,2025-02-07 09:30:00,SELL,150.0,37.1,5565.0,-11.13
NET,2025-02-07 09:30:45,SELL,113.0,157.0,17741.0,-35.48
CFLT,2025-02-13 09:30:00,BUY,220.0,36.51,-8032.2,-16.06
SPXU,2025-04-04 09:42:45,SELL,1000.0,31.3,31300.0,-62.6
NET,2025-04-04 09:54:21,BUY,150.0,99.0,-14850.0,-29.7
TSM,2025-04-07 09:30:01,BUY,80.0,134.64,-10771.2,-21.54
NVDA,2025-04-07 09:30:02,BUY,120.0,87.46,-10495.2,-20.99
CFLT,2025-04-08 09:30:00,BUY,430.0,21.35,-9180.5,-18.36
NVDA,2025-04-09 13:24:08,SELL,120.0,107.0,12840.0,-25.68
TSM,2025-04-09 14:24:30,SELL,80.0,158.0,12640.0,-25.28
NET,2025-05-01 09:38:09,SELL,100.0,124.0,12400.0,-24.8
SPXU,2025-05-01 10:21:39,BUY,500.0,22.68,-11340.0,-22.68
ESTC,2025-05-12 09:38:36,SELL,100.0,89.68,8968.0,-17.94
SPXU,2025-05-14 10:23:01,BUY,500.0,19.7,-9850.0,-19.7
